Week Ending Date,State,Observed Number,Upper Bound Threshold,Exceeds Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Year,Total Excess Lower Estimate in 2020,Total Excess Higher Estimate in 2020,Percent Excess Lower Estimate,Percent Excess Higher Estimate,Type,Outcome,Suppress,Note
7/29/2017,Alabama,888,1089,FALSE,942,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
8/5/2017,Alabama,949,1093,FALSE,948,0,1,2017,392,1182,0,0,Predicted (weighted),All causes,,
8/12/2017,Alabama,936,1097,FALSE,950,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
8/19/2017,Alabama,933,1085,FALSE,938,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
8/26/2017,Alabama,917,1074,FALSE,929,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
9/2/2017,Alabama,953,1064,FALSE,920,0,33,2017,392,1182,0,0,Predicted (weighted),All causes,,
9/9/2017,Alabama,960,1063,FALSE,923,0,37,2017,392,1182,0,0,Predicted (weighted),All causes,,
9/16/2017,Alabama,968,1076,FALSE,931,0,37,2017,392,1182,0,0,Predicted (weighted),All causes,,
9/23/2017,Alabama,995,1095,FALSE,949,0,46,2017,392,1182,0,0,Predicted (weighted),All causes,,
9/30/2017,Alabama,1019,1108,FALSE,961,0,58,2017,392,1182,0,0.1,Predicted (weighted),All causes,,
10/7/2017,Alabama,948,1114,FALSE,969,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
10/14/2017,Alabama,986,1126,FALSE,980,0,6,2017,392,1182,0,0,Predicted (weighted),All causes,,
10/21/2017,Alabama,966,1125,FALSE,979,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
10/28/2017,Alabama,941,1134,FALSE,986,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
11/4/2017,Alabama,994,1142,FALSE,994,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
11/11/2017,Alabama,994,1157,FALSE,1012,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
11/18/2017,Alabama,982,1175,FALSE,1027,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
11/25/2017,Alabama,1004,1193,FALSE,1044,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
12/2/2017,Alabama,1067,1200,FALSE,1049,0,18,2017,392,1182,0,0,Predicted (weighted),All causes,,
12/9/2017,Alabama,1074,1220,FALSE,1069,0,5,2017,392,1182,0,0,Predicted (weighted),All causes,,
12/16/2017,Alabama,1120,1235,FALSE,1082,0,38,2017,392,1182,0,0,Predicted (weighted),All causes,,
12/23/2017,Alabama,1098,1241,FALSE,1090,0,8,2017,392,1182,0,0,Predicted (weighted),All causes,,
12/30/2017,Alabama,1080,1258,FALSE,1105,0,0,2017,392,1182,0,0,Predicted (weighted),All causes,,
1/6/2018,Alabama,1248,1283,FALSE,1130,0,118,2018,392,1182,0,0.1,Predicted (weighted),All causes,,
1/13/2018,Alabama,1301,1289,TRUE,1133,12,168,2018,392,1182,0,0.1,Predicted (weighted),All causes,,
1/20/2018,Alabama,1275,1301,FALSE,1145,0,130,2018,392,1182,0,0.1,Predicted (weighted),All causes,,
1/27/2018,Alabama,1286,1306,FALSE,1156,0,130,2018,392,1182,0,0.1,Predicted (weighted),All causes,,
2/3/2018,Alabama,1147,1302,FALSE,1151,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
2/10/2018,Alabama,1181,1293,FALSE,1144,0,37,2018,392,1182,0,0,Predicted (weighted),All causes,,
2/17/2018,Alabama,1096,1296,FALSE,1147,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
2/24/2018,Alabama,1099,1295,FALSE,1144,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
3/3/2018,Alabama,985,1278,FALSE,1130,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
3/10/2018,Alabama,1059,1268,FALSE,1119,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
3/17/2018,Alabama,1086,1251,FALSE,1105,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
3/24/2018,Alabama,993,1239,FALSE,1094,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
3/31/2018,Alabama,995,1230,FALSE,1084,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
4/7/2018,Alabama,1012,1216,FALSE,1069,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
4/14/2018,Alabama,1026,1208,FALSE,1063,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
4/21/2018,Alabama,1031,1203,FALSE,1059,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
4/28/2018,Alabama,971,1195,FALSE,1053,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
5/5/2018,Alabama,1039,1187,FALSE,1043,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
5/12/2018,Alabama,950,1179,FALSE,1035,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
5/19/2018,Alabama,1005,1166,FALSE,1025,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
5/26/2018,Alabama,977,1156,FALSE,1016,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
6/2/2018,Alabama,973,1137,FALSE,1002,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
6/9/2018,Alabama,1011,1131,FALSE,991,0,20,2018,392,1182,0,0,Predicted (weighted),All causes,,
6/16/2018,Alabama,940,1122,FALSE,982,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
6/23/2018,Alabama,974,1115,FALSE,977,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
6/30/2018,Alabama,927,1111,FALSE,975,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
7/7/2018,Alabama,972,1113,FALSE,977,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
7/14/2018,Alabama,994,1111,FALSE,973,0,21,2018,392,1182,0,0,Predicted (weighted),All causes,,
7/21/2018,Alabama,959,1122,FALSE,984,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
7/28/2018,Alabama,930,1132,FALSE,995,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
8/4/2018,Alabama,962,1138,FALSE,1002,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
8/11/2018,Alabama,969,1126,FALSE,997,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
8/18/2018,Alabama,938,1115,FALSE,983,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
8/25/2018,Alabama,943,1109,FALSE,975,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
9/1/2018,Alabama,936,1108,FALSE,972,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
9/8/2018,Alabama,944,1104,FALSE,966,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
9/15/2018,Alabama,912,1120,FALSE,983,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
9/22/2018,Alabama,998,1117,FALSE,992,0,6,2018,392,1182,0,0,Predicted (weighted),All causes,,
9/29/2018,Alabama,972,1122,FALSE,999,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
10/6/2018,Alabama,945,1117,FALSE,993,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
10/13/2018,Alabama,943,1111,FALSE,987,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
10/20/2018,Alabama,971,1112,FALSE,988,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
10/27/2018,Alabama,993,1113,FALSE,989,0,4,2018,392,1182,0,0,Predicted (weighted),All causes,,
11/3/2018,Alabama,927,1101,FALSE,984,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
11/10/2018,Alabama,963,1124,FALSE,1004,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
11/17/2018,Alabama,1055,1153,FALSE,1029,0,26,2018,392,1182,0,0,Predicted (weighted),All causes,,
11/24/2018,Alabama,1009,1170,FALSE,1045,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
12/1/2018,Alabama,1050,1189,FALSE,1062,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
12/8/2018,Alabama,1044,1203,FALSE,1081,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
12/15/2018,Alabama,1053,1211,FALSE,1088,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
12/22/2018,Alabama,1105,1218,FALSE,1094,0,11,2018,392,1182,0,0,Predicted (weighted),All causes,,
12/29/2018,Alabama,1084,1247,FALSE,1123,0,0,2018,392,1182,0,0,Predicted (weighted),All causes,,
1/5/2019,Alabama,1076,1273,FALSE,1146,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
1/12/2019,Alabama,1090,1304,FALSE,1175,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
1/19/2019,Alabama,1114,1317,FALSE,1192,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
1/26/2019,Alabama,1063,1316,FALSE,1194,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
2/2/2019,Alabama,1095,1297,FALSE,1177,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
2/9/2019,Alabama,1092,1293,FALSE,1173,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
2/16/2019,Alabama,1103,1279,FALSE,1160,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
2/23/2019,Alabama,1064,1276,FALSE,1152,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
3/2/2019,Alabama,1050,1254,FALSE,1137,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
3/9/2019,Alabama,1062,1233,FALSE,1119,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
3/16/2019,Alabama,1090,1218,FALSE,1104,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
3/23/2019,Alabama,1012,1213,FALSE,1098,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
3/30/2019,Alabama,1079,1202,FALSE,1090,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
4/6/2019,Alabama,1044,1185,FALSE,1073,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
4/13/2019,Alabama,1031,1171,FALSE,1063,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
4/20/2019,Alabama,954,1166,FALSE,1059,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
4/27/2019,Alabama,1042,1166,FALSE,1055,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
5/4/2019,Alabama,1031,1161,FALSE,1050,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
5/11/2019,Alabama,1009,1147,FALSE,1038,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
5/18/2019,Alabama,996,1128,FALSE,1022,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
5/25/2019,Alabama,974,1117,FALSE,1013,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
6/1/2019,Alabama,1027,1111,FALSE,1003,0,24,2019,392,1182,0,0,Predicted (weighted),All causes,,
6/8/2019,Alabama,1029,1112,FALSE,1004,0,25,2019,392,1182,0,0,Predicted (weighted),All causes,,
6/15/2019,Alabama,986,1098,FALSE,994,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
6/22/2019,Alabama,989,1093,FALSE,992,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
6/29/2019,Alabama,940,1095,FALSE,997,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
7/6/2019,Alabama,1028,1111,FALSE,1008,0,20,2019,392,1182,0,0,Predicted (weighted),All causes,,
7/13/2019,Alabama,1017,1106,FALSE,1001,0,16,2019,392,1182,0,0,Predicted (weighted),All causes,,
7/20/2019,Alabama,962,1104,FALSE,1002,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
7/27/2019,Alabama,980,1100,FALSE,1000,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
8/3/2019,Alabama,984,1091,FALSE,995,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
8/10/2019,Alabama,997,1091,FALSE,991,0,6,2019,392,1182,0,0,Predicted (weighted),All causes,,
8/17/2019,Alabama,977,1096,FALSE,995,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
8/24/2019,Alabama,939,1097,FALSE,995,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
8/31/2019,Alabama,974,1095,FALSE,995,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
9/7/2019,Alabama,1009,1100,FALSE,1000,0,9,2019,392,1182,0,0,Predicted (weighted),All causes,,
9/14/2019,Alabama,1000,1113,FALSE,1011,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
9/21/2019,Alabama,883,1115,FALSE,1012,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
9/28/2019,Alabama,987,1115,FALSE,1014,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
10/5/2019,Alabama,958,1109,FALSE,1008,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
10/12/2019,Alabama,907,1097,FALSE,997,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
10/19/2019,Alabama,1009,1092,FALSE,992,0,17,2019,392,1182,0,0,Predicted (weighted),All causes,,
10/26/2019,Alabama,978,1100,FALSE,997,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
11/2/2019,Alabama,937,1107,FALSE,1005,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
11/9/2019,Alabama,1041,1122,FALSE,1023,0,18,2019,392,1182,0,0,Predicted (weighted),All causes,,
11/16/2019,Alabama,1070,1140,FALSE,1043,0,27,2019,392,1182,0,0,Predicted (weighted),All causes,,
11/23/2019,Alabama,1042,1157,FALSE,1058,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
11/30/2019,Alabama,1038,1168,FALSE,1069,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
12/7/2019,Alabama,1072,1175,FALSE,1076,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
12/14/2019,Alabama,1081,1180,FALSE,1079,0,2,2019,392,1182,0,0,Predicted (weighted),All causes,,
12/21/2019,Alabama,1103,1176,FALSE,1078,0,25,2019,392,1182,0,0,Predicted (weighted),All causes,,
12/28/2019,Alabama,1034,1184,FALSE,1088,0,0,2019,392,1182,0,0,Predicted (weighted),All causes,,
1/4/2020,Alabama,1076,1189,FALSE,1092,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,
1/11/2020,Alabama,1123,1183,FALSE,1093,0,30,2020,392,1182,0,0,Predicted (weighted),All causes,,
1/18/2020,Alabama,1043,1180,FALSE,1103,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,
1/25/2020,Alabama,1057,1187,FALSE,1113,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,
2/1/2020,Alabama,1028,1185,FALSE,1113,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,
2/8/2020,Alabama,1120,1188,FALSE,1117,0,3,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2/15/2020,Alabama,1094,1188,FALSE,1110,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2/22/2020,Alabama,1099,1179,FALSE,1100,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2/29/2020,Alabama,1164,1165,FALSE,1092,0,72,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
3/7/2020,Alabama,1058,1150,FALSE,1080,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
3/14/2020,Alabama,1089,1141,FALSE,1072,0,17,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
3/21/2020,Alabama,1056,1141,FALSE,1066,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
3/28/2020,Alabama,1064,1132,FALSE,1058,0,6,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
4/4/2020,Alabama,1148,1115,TRUE,1044,33,104,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
4/11/2020,Alabama,1133,1108,TRUE,1038,25,95,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
4/18/2020,Alabama,1137,1099,TRUE,1031,38,106,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
4/25/2020,Alabama,1132,1097,TRUE,1021,35,111,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
5/2/2020,Alabama,1135,1089,TRUE,1016,46,119,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
5/9/2020,Alabama,1165,1082,TRUE,1010,83,155,2020,392,1182,0.1,0.2,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
5/16/2020,Alabama,1123,1079,TRUE,1009,44,114,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
5/23/2020,Alabama,1144,1071,TRUE,1004,73,140,2020,392,1182,0.1,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
5/30/2020,Alabama,1056,1082,FALSE,1006,0,50,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
6/6/2020,Alabama,1081,1066,TRUE,992,15,89,2020,392,1182,0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
6/13/2020,Alabama,991,1058,FALSE,988,0,3,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
6/20/2020,Alabama,683,1051,FALSE,982,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction. Weights may be too low to account for underreporting, numbers of deaths are likely underestimated."
6/27/2020,Alabama,,1046,FALSE,980,0,0,2020,392,1182,0,0,Predicted (weighted),All causes,"Suppressed (counts highly incomplete, <50% of expected)","Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction. Weights may be too low to account for underreporting, numbers of deaths are likely underestimated."
1/14/2017,Alaska,87,109,FALSE,89,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
1/21/2017,Alaska,93,107,FALSE,87,0,6,2017,0,65,0,0.1,Predicted (weighted),All causes,,
1/28/2017,Alaska,80,107,FALSE,87,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
2/4/2017,Alaska,87,105,FALSE,86,0,1,2017,0,65,0,0,Predicted (weighted),All causes,,
2/11/2017,Alaska,63,105,FALSE,86,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
2/18/2017,Alaska,80,102,FALSE,83,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
2/25/2017,Alaska,73,103,FALSE,83,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
3/4/2017,Alaska,66,102,FALSE,82,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
3/11/2017,Alaska,74,103,FALSE,83,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
3/18/2017,Alaska,84,103,FALSE,84,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
3/25/2017,Alaska,92,103,FALSE,83,0,9,2017,0,65,0,0.1,Predicted (weighted),All causes,,
4/1/2017,Alaska,89,104,FALSE,84,0,5,2017,0,65,0,0.1,Predicted (weighted),All causes,,
4/8/2017,Alaska,78,104,FALSE,84,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
4/15/2017,Alaska,88,101,FALSE,82,0,6,2017,0,65,0,0.1,Predicted (weighted),All causes,,
4/22/2017,Alaska,58,98,FALSE,80,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
4/29/2017,Alaska,80,100,FALSE,81,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
5/6/2017,Alaska,73,101,FALSE,81,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
5/13/2017,Alaska,77,101,FALSE,81,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
5/20/2017,Alaska,68,104,FALSE,84,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
5/27/2017,Alaska,76,105,FALSE,85,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
6/3/2017,Alaska,77,103,FALSE,84,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
6/10/2017,Alaska,84,103,FALSE,83,0,1,2017,0,65,0,0,Predicted (weighted),All causes,,
6/17/2017,Alaska,90,107,FALSE,87,0,3,2017,0,65,0,0,Predicted (weighted),All causes,,
6/24/2017,Alaska,81,106,FALSE,86,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
7/1/2017,Alaska,79,107,FALSE,87,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
7/8/2017,Alaska,82,110,FALSE,90,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
7/15/2017,Alaska,70,112,FALSE,91,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
7/22/2017,Alaska,81,109,FALSE,88,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
7/29/2017,Alaska,79,107,FALSE,87,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
8/5/2017,Alaska,64,104,FALSE,84,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
8/12/2017,Alaska,68,103,FALSE,84,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
8/19/2017,Alaska,89,102,FALSE,83,0,6,2017,0,65,0,0.1,Predicted (weighted),All causes,,
8/26/2017,Alaska,89,104,FALSE,84,0,5,2017,0,65,0,0.1,Predicted (weighted),All causes,,
9/2/2017,Alaska,77,107,FALSE,87,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
9/9/2017,Alaska,86,105,FALSE,86,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
9/16/2017,Alaska,83,104,FALSE,85,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
9/23/2017,Alaska,89,105,FALSE,86,0,3,2017,0,65,0,0,Predicted (weighted),All causes,,
9/30/2017,Alaska,115,108,TRUE,87,7,28,2017,0,65,0.1,0.3,Predicted (weighted),All causes,,
10/7/2017,Alaska,78,107,FALSE,87,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
10/14/2017,Alaska,79,110,FALSE,89,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
10/21/2017,Alaska,79,108,FALSE,89,0,0,2017,0,65,0,0,Predicted (weighted),All causes,,
